,Unnamed: 0,YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
201,718,2019,3,C,0,0.0,1.0,1500.0,1500.0,6,2.0,N,N,Y
202,719,2019,3,A,APT,3.0,2.0,4350.0,4350.0,6,6.0,N,N,Y
203,720,2019,3,B,APT,3.0,2.0,4500.0,4500.0,6,6.0,N,N,Y
204,721,2019,3,A,APT,2.0,1.0,3000.0,3000.0,6,4.0,N,N,Y
205,722,2019,3,B,APT,2.0,1.0,3100.0,3100.0,6,4.0,N,N,Y
206,723,2019,17,1-4,TOWNHOUSE,2.0,1.5,2700.0,2700.0,6,4.0,N,N,Y
208,725,2019,8,6,APT,1.0,1.0,1575.0,1575.0,6,2.0,N,Y,Y
209,726,2019,8,C,APT,1.0,1.0,1400.0,1400.0,6,2.0,N,N,Y
210,727,2019,8,"A, B, D, E",APT,2.0,1.0,1900.0,1900.0,6,3.0,N,N,Y
211,728,2019,8,1-7. 9-17,APT,1.0,1.0,1340.0,1340.0,6,2.0,N,N,Y
212,729,2019,8,"8, 16",APT,2.0,1.0,1950.0,1950.0,6,3.0,N,N,Y
213,730,2019,8,"1-3, 8-10",TOWNHOUSE,2.0,2.0,2600.0,2600.0,6,4.0,N,Y,Y
214,731,2019,9,"2-8, 11-17",0,0.0,1.0,1010.0,1010.0,6,1.0,N,N,Y
215,732,2019,9,"9, 18",0,0.0,1.0,1100.0,1100.0,6,1.0,N,N,Y
216,733,2019,9,"1, 10",APT,3.0,2.0,3000.0,3000.0,6,4.0,N,N,Y
217,734,2019,9,"1, 2",APT,2.0,2.0,2800.0,2800.0,6,4.0,N,N,Y
218,735,2019,9,"3, 4",APT,2.0,2.0,2900.0,2900.0,6,4.0,N,N,Y
219,736,2019,9,A-F,APT,2.0,1.0,2400.0,2400.0,6,4.0,N,N,Y
220,737,2019,9,3,APT,1.0,1.0,1300.0,1300.0,6,2.0,N,N,Y
221,738,2019,9,"1, 2, 4-6",APT,2.0,1.0,2400.0,2400.0,6,4.0,N,N,Y
222,739,2019,9,"A, B",APT,3.0,2.0,3600.0,3600.0,6,5.0,N,N,Y
224,741,2019,9,"A, B",APT,2.0,2.0,2700.0,2700.0,6,4.0,N,N,Y
225,742,2019,9,"A, B",APT,2.0,1.0,2700.0,2700.0,6,4.0,N,N,Y
226,743,2019,9,C,0,0.0,1.0,1200.0,1200.0,6,1.0,N,N,Y
227,744,2019,9,A,APT,3.0,2.0,3500.0,3500.0,6,5.0,N,N,Y
228,745,2019,9,B,APT,3.0,1.0,3000.0,3000.0,6,4.0,N,N,Y
230,747,2019,18,"103, 104, 201-210",0,0.0,1.0,960.0,960.0,6,1.0,N,Y,Y
231,748,2019,18,"102, 207, 211",0,0.0,1.0,980.0,980.0,6,1.0,N,Y,Y
232,749,2019,18,101,APT,1.0,1.0,1300.0,1300.0,6,2.0,N,Y,Y
233,750,2019,10,"3, 4",APT,2.0,2.0,2700.0,2700.0,6,4.0,N,N,Y
234,751,2019,10,5,APT,2.0,2.0,2700.0,2700.0,6,4.0,N,N,Y
235,752,2019,10,"1, 2",APT,3.0,2.0,4050.0,4050.0,6,6.0,N,N,Y
236,753,2019,12,1-6,APT,1.0,1.0,1260.0,1260.0,6,2.0,N,N,Y
237,754,2019,12,"1, 2",APT,2.0,2.0,2600.0,2600.0,6,4.0,N,N,Y
238,755,2019,12,3,APT,2.0,2.0,2700.0,2700.0,6,4.0,N,N,Y
239,756,2019,12,4,APT,2.0,2.0,2600.0,2600.0,6,4.0,N,N,Y
240,757,2019,12,5-8,0,0.0,1.0,1300.0,1300.0,6,1.0,N,N,Y
241,758,2019,12,"8, 9",0,0.0,1.0,980.0,980.0,6,1.0,N,N,Y
